Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2
10/2/2020,320,108,masusalmon,NO,NO,94.0 ,9.8,NO,NO,NO,NO,NA,900_226001110240,NA
10/2/2020,320,109,masusalmon,YES,NO,118.0 ,18.2,NO,NO,NO,NO,NA,900_226001047923,NA
10/2/2020,320,110,masusalmon,NO,NO,72.0 ,3.8,NO,NO,NO,NO,NA,900_226001110255,NA
10/2/2020,320,NA,sculpin,NO,NO,105.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,320,NA,sculpin,NO,NO,80.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,320,NA,sculpin,NO,NO,79.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,320,NA,sculpin,NO,NO,87.0 ,NA,NO,NO,NO,NO,NA,NA,NA
10/2/2020,330,111,masusalmon,NO,NO,91.0 ,8.1,NO,NO,NO,NO,NA,900_226001110216,NA
10/2/2020,330,112,masusalmon,YES,NO,134.0 ,26.8,NO,NO,NO,NO,NA,900_226001047797,NA
10/2/2020,330,113,masusalmon,NO,NO,107.0 ,13.3,NO,NO,NO,NO,NA,900_226001110281,NA
10/2/2020,330,114,masusalmon,NO,NO,74.0 ,4.4,NO,NO,NO,NO,NA,900_226001110249,NA
10/2/2020,330,115,masusalmon,NO,NO,76.0 ,4.8,NO,NO,NO,NO,NA,900_226001110233,NA
10/2/2020,330,116,masusalmon,NO,NO,74.0 ,4.5,NO,NO,NO,NO,NA,900_226001110213,NA
10/2/2020,330,117,masusalmon,NO,NO,105.0 ,12.6,NO,NO,NO,NO,NA,900_226001110292,NA
10/2/2020,330,118,masusalmon,NO,NO,81.0 ,5.9,NO,NO,NO,NO,NA,900_226001110210,NA
