Date,Section,ID,Spp,recap,recapinsurvey,FL,BM,maturation,tagloss,injury,handlingmortality,notes,PITNumber,PITNumber2,life_stage,occasion,smolting,removed
10/2/2020,270,NA,sculpin,NO,NO,57,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,71,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,270,NA,sculpin,NO,NO,102,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,280,98,masusalmon,NO,NO,105,12.8,NO,NO,NO,NO,NA,900_226001110288,NA,NA,1,NA,NA
10/2/2020,280,99,masusalmon,NO,NO,126,26.1,sperm,NO,NO,NO,NA,900_226001110203,NA,NA,1,NA,NA
10/2/2020,280,100,masusalmon,NO,NO,150,42.5,sperm,NO,NO,NO,NA,900_226001110296,NA,NA,1,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,143,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,75,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,104,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,90,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
10/2/2020,280,NA,sculpin,NO,NO,101,NA,NO,NO,NO,NO,NA,NA,NA,NA,1,NA,NA
